GEOID,area (m2)
48023,258814.79055796275
48033,27723.67946847237
48071,226806.0888507288
48019,9583267.836701456
48181,51016293.22307777
48195,150044.44943989432
48211,22423774.825125623
48295,4691475.278859527
48297,66157069.41536713
48101,114971870.372908
48259,6021407.749806826
48463,1184640.3729010182
48325,3792240.9660179727
48329,5041623.992597928
48335,409198.8609839494
48443,39888.56694431835
48491,58934748.69800822
48159,219330.36857818413
48039,26472789.571294177
48223,691130.0644661643
48321,13808164.273104824
48387,1963833.6544206562
48003,86985.49370466628
48265,2169269.4822598263
48293,1112718.978471774
48437,148749.44203237758
48075,2523821.3660496376
48237,480119.69747224555
48063,2139893.0051389458
48255,26249304.683910053
48153,128172.15157519192
48169,166260.8634453764
48207,363915.2285007526
48201,112553378.67063048
48345,149017.23303991128
48073,4163727.0308678667
48031,332624.86995926144
48501,70938.92809061744
48117,150678.41772664076
48147,1278882.3589589112
48171,1493097.280982969
49001,629031924.8019395
49003,586104410.551277
49011,344763403.66974366
49029,620818421.8799877
49035,547512526.1784971
49043,2465275253.0139704
49049,1786697515.0647223
49025,5647431029.291658
49033,331875348.8489926
49045,1316156602.1511993
49047,1384373194.1908314
49051,1989047581.3287985
49007,371106062.9298375
49019,1784538139.4000661
49005,1953369680.5024872
49023,797353643.559251
49057,920253367.7853509
49017,5114011171.310991
49037,7401537730.625231
49009,676761787.2073538
49021,92426861.55586354
49027,2507052460.21853
49055,2436177446.439499
49041,3081497695.0138674
49031,823157209.2583517
49053,1814718671.3021195
49015,3943975713.9895215
49039,25321281.274499916
49013,2967031817.178714
53065,2205040803.5840683
53005,503589675.0029929
53007,3012477046.622397
53009,1422794757.2992423
53015,181516851.3140339
53025,991068837.5988845
53031,2413168455.316219
53037,1641594620.2144399
53043,216939844.80071673
53047,2589970742.8966255
53049,102576460.30269608
53053,1245066172.190621
53061,1828957053.492535
53071,14600861.100102235
53073,2783799219.9727445
53077,1662308911.054719
53011,207519348.83777502
53045,323467173.98347986
53027,363759673.68516475
53033,1566218263.002657
53057,1125242751.5294547
53019,203547057.41623312
53075,12785446.48563586
53067,337995972.80132914
53021,184947099.30013597
53055,4649997.6530815605
53051,1084235506.0231018
53059,3672761724.205609
53013,95437459.3182821
53029,17730245.21416691
53035,80453703.49357027
53041,2040381401.5937672
53039,281194039.72923124
53001,60759119.86553764
53063,549592739.961217
53023,29442070.81903886
53003,238650929.38817033
53069,3509964.7143897535
53017,250857881.14973903
55003,381196640.5785012
55043,83697726.41390572
55113,827688599.3558912
55023,51055287.2603983
55037,195303589.63364804
55051,1067031516.5205724
55069,466987211.3866595
55075,1069118394.8616748
55111,107134053.49429835
55001,119259092.49466969
55011,75368424.84963712
55007,901505119.18815
55057,376597644.5768148
55121,15457409.472552821
55123,52714137.14458533
55077,29354666.869316187
55085,833598634.9704721
55105,27406859.59662825
55119,114016311.76926625
55067,569179067.4425443
55073,305580363.6335756
55127,57948044.654596016
55025,160851707.32844248
55039,88472198.3418266
55059,20635865.767106023
55015,43951851.37148909
55021,52198149.97644771
55005,90987643.3836847
55089,21131656.417961355
55091,22868824.25221138
55071,43667351.649218015
55083,195377704.42219007
55049,54728840.022080615
55031,1438658147.887934
55101,14218929.825564217
55129,519472333.7806825
55135,16369940.525331074
55093,15311776.724045247
55097,146919176.07153288
55141,360963261.3105137
55027,174226140.2565064
55133,92705084.33995825
55045,16876355.472276893
55033,132890006.03333667
55087,54818367.24827323
55017,180159406.85337824
55019,535202268.5743571
55109,74307363.89871272
55137,20373976.988820218
55115,60534240.776667
55095,186336148.0887458
55125,889766547.897988
55053,769215122.7376562
55047,28280010.156739753
55055,75928663.89345859
55041,67692533.1875475
55103,34837342.744741805
55065,17362662.93055522
55078,347908.25000200345
55013,768620586.481788
55009,30046406.050412092
55061,489008.71139864455
55063,92540846.30127558
55131,63063936.222150326
55035,241971720.55622116
55099,445224970.5349978
55107,436365238.32893693
55117,82830296.61449522
55139,41500003.121097356
55029,54961523.1421557
55081,75399925.2037836
55079,23447800.51981328
24003,97723453.27238029
24011,40741999.97516075
24033,88533701.51700741
24043,101828873.00816669
24001,244928827.92024273
24005,201882362.39165488
24017,101882176.52992813
